year,tmID,confID,seed,results,playoff,o_fga,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,win_ratio,homeW_ratio,awayW_ratio,min,o_fg%,o_ft%,o_3p%,d_fg%,d_ft%,d_3p%
10,SAS,WE,4,label1,Y,2190,626,739,281,768,1049,598,596,257,509,116,2615,1000,2279,488,620,173,499,364,824,1188,529,643,268,502,120,2661,0.441,0.588,0.294,6950,42.74,77.8,34.64,43.88,78.71,34.67
1,SEA,WE,8,label0,N,1740,561,364,256,537,793,390,648,255,525,93,1822,778,1721,498,654,117,334,288,721,1009,506,618,284,529,123,2171,0.188,0.25,0.125,6475,38.33,67.56,29.95,45.21,76.15,35.03
2,SEA,WE,8,label0,N,1821,606,412,306,585,891,412,605,273,431,127,1921,753,1750,417,559,125,325,296,756,1052,492,588,228,519,127,2048,0.312,0.312,0.312,6550,37.84,68.48,31.07,43.03,74.6,38.46
3,SEA,WE,4,label1,Y,1948,543,506,362,633,995,514,623,282,477,151,2188,783,1818,435,587,102,342,307,662,969,488,563,254,531,125,2103,0.531,0.625,0.438,6450,40.76,76.98,35.97,43.07,74.11,29.82
4,SEA,WE,5,label0,N,2045,567,500,342,732,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,2274,0.529,0.765,0.294,6850,43.52,77.95,33.2,41.39,74.62,33.18
5,SEA,WE,2,label4,Y,2025,676,439,350,709,1059,552,665,302,499,131,2437,851,1989,423,592,139,391,303,679,982,507,678,252,527,137,2264,0.588,0.765,0.412,6825,43.11,77.51,38.04,42.79,71.45,35.55
6,SEA,WE,2,label1,Y,2066,688,429,323,776,1099,520,657,201,516,158,2498,892,2163,490,646,133,419,334,686,1020,568,691,267,438,154,2407,0.588,0.824,0.353,6825,43.85,79.07,33.1,41.24,75.85,31.74
7,SEA,WE,4,label1,Y,2124,712,475,327,821,1148,514,682,232,570,127,2644,940,2218,531,707,164,484,322,709,1031,520,683,297,485,115,2575,0.529,0.529,0.529,6800,45.24,78.93,33.68,42.38,75.11,33.88
8,SEA,WE,4,label1,Y,2210,715,639,344,820,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,2647,0.5,0.706,0.294,6825,43.62,81.4,35.05,42.52,81.57,36.93
9,SEA,WE,2,label1,Y,2112,728,453,340,822,1162,530,684,269,526,140,2493,861,2164,512,680,172,539,332,760,1092,498,674,263,515,115,2406,0.647,0.941,0.353,6800,42.57,75.82,31.57,39.79,75.29,31.91
10,SEA,WE,2,label1,Y,2116,707,486,316,788,1104,536,710,276,555,150,2544,882,2150,510,671,202,585,332,746,1078,517,672,275,555,131,2476,0.588,0.765,0.412,7025,42.96,78.5,35.19,41.02,76.01,34.53
1,UTA,WE,5,label0,N,1896,790,262,348,732,1080,522,698,214,544,157,2413,860,1964,531,721,156,448,313,598,911,503,702,301,437,112,2407,0.562,0.75,0.375,6400,45.25,77.09,33.59,43.79,73.65,34.82
2,UTA,WE,3,label1,Y,1849,675,244,295,775,1070,524,622,202,493,156,2207,789,1976,489,660,125,429,344,630,974,478,645,275,390,148,2192,0.594,0.562,0.625,6475,43.86,75.11,31.97,39.93,74.09,29.14
3,UTA,WE,3,Unknown,Y,1911,844,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,0.625,0.75,0.5,6450,44.11,76.18,36.03,41.17,75.0,33.42
1,WAS,EA,4,label1,Y,1813,578,335,300,646,946,521,597,245,506,126,2176,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,2221,0.438,0.438,0.438,6400,45.89,69.72,32.54,45.07,68.83,37.53
2,WAS,EA,8,label0,N,1915,504,418,356,699,1055,424,537,257,495,127,1928,791,1945,347,467,146,408,331,737,1068,487,543,261,454,103,2075,0.312,0.5,0.125,6500,38.59,66.07,27.99,40.67,74.3,35.78
3,WAS,EA,3,Unknown,Y,1910,478,443,330,708,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,309,680,989,442,570,237,441,101,2116,0.531,0.562,0.5,6450,42.2,75.1,37.02,41.3,73.79,32.96
4,WAS,EA,7,label0,N,2191,507,505,382,703,1085,568,676,213,462,99,2330,909,2033,509,691,171,482,334,781,1115,591,565,251,468,119,2498,0.265,0.176,0.353,6875,40.89,75.15,31.09,44.71,73.66,35.48
5,WAS,EA,4,label1,Y,2088,661,283,337,726,1063,467,652,255,424,128,2325,864,2013,510,686,146,425,336,770,1106,534,627,237,492,111,2384,0.5,0.647,0.353,6850,41.81,71.71,37.1,42.92,74.34,34.35
6,WAS,EA,5,label0,N,1968,546,510,266,677,943,517,697,260,435,76,2263,833,1872,489,648,150,433,267,757,1024,545,638,205,504,108,2305,0.471,0.588,0.353,6900,43.04,71.06,35.49,44.5,75.46,34.64
7,WAS,EA,4,label1,Y,2199,715,522,330,770,1100,576,784,306,541,113,2747,909,2102,635,851,204,553,321,720,1041,583,687,252,573,89,2657,0.529,0.765,0.294,6850,46.2,73.85,35.82,43.24,74.62,36.89
8,WAS,EA,5,label0,N,2170,839,528,335,783,1118,472,763,282,571,133,2585,924,2216,616,801,175,520,383,825,1208,549,762,256,579,103,2639,0.471,0.471,0.471,6900,40.41,79.62,30.87,41.7,76.9,33.65
9,WAS,EA,6,label0,N,2131,659,460,362,770,1132,483,757,241,637,93,2368,929,2096,563,760,180,528,306,787,1093,542,708,314,530,146,2601,0.294,0.353,0.235,6825,41.53,66.01,35.43,44.32,74.08,34.09
10,WAS,EA,4,label1,Y,2205,827,426,388,803,1191,453,725,314,607,118,2585,945,2184,570,755,162,478,322,789,1111,524,778,315,576,156,2622,0.471,0.647,0.294,6875,42.31,70.13,32.63,43.27,75.5,33.89
